ts,tz,symbol,side,qty,price,fee
2025-03-03 09:31:05,America/New_York,SPY,BUY,100,580.10,1.00
2025-03-03 14:45:00,UTC,SPY,BUY,100,581.30,1.00
2025-03-03 15:10:00,America/New_York,SPY,SELL,150,583.00,1.00
2025-03-03 10:02:11,America/New_York,AAPL,SELL,50,240.00,1.00
2025-03-03 20:59:00,UTC,AAPL,BUY,50,238.50,
2025-03-04 09:45:00,America/New_York,SPY,SELL,100,579.00,1.00
2025-03-04 10:00:00,America/New_York,SPY,BUY,50,578.00,1.00
2025-03-04 11:00:00,America/New_York,QQQ,HOLD,10,500.00,1.00
2025-03-04 11:05:00,Mars/Olympus,QQQ,BUY,10,500.00,1.00
2025-03-04 11:10:00,America/New_York,QQQ,BUY,-10,500.00,1.00
2025-03-04 11:15:00,America/New_York,QQQ,BUY,10,abc,1.00
2025-03-04 25:61:00,America/New_York,QQQ,BUY,10,500.00,1.00
2025-03-04 01:30:00,UTC,MSFT,BUY,10,400.00,1.00
