expiry,strike,cp,bid,ask,oi,ib_iv,ib_delta,ib_gamma,ib_vega,ib_theta
2026-04-01,420,1,80.75,81.47,2719,0.2578119569,0.9914210594,0.0005610278808,0.02972048545,-0.04623018446
2026-04-01,420,-1,0.04,0.13,2614,0.254889712,-0.006968609494,0.0005311656224,0.02781958614,-0.01150225775
2026-04-01,430,1,70.91,71.54,15951,0.246168491,0.9853812735,0.000983132114,0.04972934567,-0.05481662781
2026-04-01,430,-1,0.13,0.21,10010,0.2458684384,-0.01346050093,0.000978667012,0.04944314998,-0.01964984187
2026-04-01,440,1,61.13,61.67,11821,0.2341255709,0.9749508236,0.001681415695,0.08088953621,-0.06673155541
2026-04-01,440,-1,0,0.35,12049,0.2341787243,-0.02400572968,0.001682475566,0.08095890035,-0.03050756153
2026-04-01,450,1,51.47,51.92,14257,0.2229843863,0.9563728266,0.002834402437,0.1298686619,-0.08381430935
2026-04-01,450,-1,0.54,0.6,622,0.2231649854,-0.04268089903,0.002838651468,0.1301686877,-0.04647393799
2026-04-01,460,1,42,42.37,9735,0.2114971941,0.925320838,0.004601823145,0.1999875375,-0.1058557907
2026-04-01,460,-1,1,1.05,3001,0.2117102971,-0.0738063824,0.004606502988,0.2003926266,-0.06734691938
2026-04-01,470,1,32.88,33.17,8059,0.2004658495,0.8742244489,0.007149626831,0.2945046608,-0.1326474706
2026-04-01,470,-1,1.8,1.85,18567,0.2005060508,-0.1247526846,0.007149997685,0.2945789998,-0.09274784236
2026-04-01,480,1,24.33,24.54,10977,0.1896186253,0.7948877383,0.01041957175,0.4059749735,-0.1601325538
2026-04-01,480,-1,3.18,3.22,1454,0.1896950262,-0.2041324234,0.01041805199,0.4060793107,-0.1190425847
2026-04-01,490,1,16.69,16.83,10877,0.1795747068,0.6798271791,0.01386762612,0.5117003207,-0.1808817338
2026-04-01,490,-1,5.46,5.51,2638,0.179575099,-0.3191052241,0.01386760177,0.5117005398,-0.1384833847
2026-04-01,500,1,10.35,10.43,15101,0.1703914016,0.5306246033,0.01626612072,0.5695083102,-0.1837114964
2026-04-01,500,-1,9.04,9.12,18969,0.170425432,-0.4683098075,0.0162628802,0.5695085719,-0.1401164728
2026-04-01,510,1,5.67,5.72,19589,0.163044586,0.3650306795,0.01607156704,0.5384346567,-0.1616139811
2026-04-01,510,-1,14.28,14.41,12456,0.1630233399,-0.633920526,0.01607337998,0.5384252236,-0.1167362717
2026-04-01,520,1,2.7,2.73,17373,0.1576042778,0.2153447388,0.01293964894,0.4190432929,-0.1191767359
2026-04-01,520,-1,21.24,21.42,7411,0.1576227484,-0.7835588224,0.01293912612,0.4190754702,-0.07311553565
2026-04-01,530,1,1.1,1.15,2957,0.1540917225,0.1078594537,0.00839095534,0.2656801565,-0.07282124191
2026-04-01,530,-1,29.57,29.83,10252,0.1540048128,-0.8912066052,0.008388178661,0.2654424421,-0.02540412126
2026-04-01,540,1,0.38,0.44,8902,0.1521948656,0.04626067746,0.004441391146,0.1388952593,-0.03720922625
2026-04-01,540,-1,38.78,39.12,13273,0.1521667796,-0.9527022488,0.004439832248,0.1388208853,0.01135780007
2026-04-01,550,1,0.1,0.16,19891,0.1508787775,0.01694338168,0.001943476045,0.06025259381,-0.01587809234
2026-04-01,550,-1,48.42,48.85,5542,0.151131403,-0.981836047,0.001955159514,0.06071630145,0.03374191788
2026-04-01,560,1,0.01,0.07,17121,0.1517248093,0.005809173591,0.000759591622,0.02368127959,-0.006238113248
2026-04-01,560,-1,58.25,58.76,2802,0.1510591766,-0.9933070949,0.0007414283216,0.02301360653,0.0449611466
2026-04-01,570,1,0,0.05,6987,0.1646856893,0.003506290605,0.0004458799258,0.01508836499,-0.004292014533
2026-04-01,570,-1,68.14,68.74,15771,0.1515713362,-0.9972557193,0.0002485140863,0.007739920302,0.05019787732
2026-04-01,580,1,0,0.04,4990,0.1805384938,0.002625778693,0.000313458588,0.01162835781,-0.003611580548
2026-04-01,580,-1,78.05,78.74,13423,0.1509931469,-0.9985229234,6.817904877e-05,0.002115322424,0.05290367288
2026-04-29,420,1,82.18,82.91,9206,0.2454551731,0.9681357372,0.001382650328,0.1348216656,-0.06079021436
2026-04-29,420,-1,0.54,0.63,10272,0.2455118798,-0.02982854012,0.001383404303,0.1349263499,-0.0271772396
