expiry,strike,cp,bid,ask,oi
2026-04-01,420,1,80.75,81.47,2719
2026-04-01,420,-1,0.04,0.13,2614
2026-04-01,430,1,70.91,71.54,15951
2026-04-01,430,-1,0.13,0.21,10010
2026-04-01,440,1,61.13,61.67,11821
2026-04-01,440,-1,0.0,0.35,12049
2026-04-01,450,1,51.47,51.92,14257
2026-04-01,450,-1,0.54,0.6,622
2026-04-01,460,1,42.0,42.37,9735
2026-04-01,460,-1,1.0,1.05,3001
2026-04-01,470,1,32.88,33.17,8059
2026-04-01,470,-1,1.8,1.85,18567
2026-04-01,480,1,24.33,24.54,10977
2026-04-01,480,-1,3.18,3.22,1454
2026-04-01,490,1,16.69,16.83,10877
2026-04-01,490,-1,5.46,5.51,2638
2026-04-01,500,1,10.35,10.43,15101
2026-04-01,500,-1,9.04,9.12,18969
2026-04-01,510,1,5.67,5.72,19589
2026-04-01,510,-1,14.28,14.41,12456
2026-04-01,520,1,2.7,2.73,17373
2026-04-01,520,-1,21.24,21.42,7411
2026-04-01,530,1,1.1,1.15,2957
2026-04-01,530,-1,29.57,29.83,10252
2026-04-01,540,1,0.38,0.44,8902
2026-04-01,540,-1,38.78,39.12,13273
2026-04-01,550,1,0.1,0.16,19891
2026-04-01,550,-1,48.42,48.85,5542
2026-04-01,560,1,0.01,0.07,17121
2026-04-01,560,-1,58.25,58.76,2802
2026-04-01,570,1,0.0,0.05,6987
2026-04-01,570,-1,68.14,68.74,15771
2026-04-01,580,1,0.0,0.04,4990
2026-04-01,580,-1,78.05,78.74,13423
2026-04-29,420,1,82.18,82.91,9206
2026-04-29,420,-1,0.54,0.63,10272
2026-04-29,430,1,72.59,73.23,18828
2026-04-29,430,-1,0.84,0.92,16343
2026-04-29,440,1,63.14,63.69,16791
2026-04-29,440,-1,1.28,1.35,11004
2026-04-29,450,1,53.89,54.36,19646
2026-04-29,450,-1,1.92,1.98,19619
2026-04-29,460,1,44.94,45.33,2745
2026-04-29,460,-1,2.86,2.92,4129
2026-04-29,470,1,36.4,36.72,6201
2026-04-29,470,-1,4.21,4.27,11096
2026-04-29,480,1,28.45,28.69,16486
2026-04-29,480,-1,6.15,6.22,9698
2026-04-29,490,1,21.28,21.46,19676
2026-04-29,490,-1,8.87,8.95,7097
2026-04-29,500,1,15.12,15.24,18570
2026-04-29,500,-1,12.6,12.7,11852
2026-04-29,510,1,10.13,10.22,14429
2026-04-29,510,-1,17.5,17.65,4744
2026-04-29,520,1,6.39,6.45,11860
2026-04-29,520,-1,23.65,23.85,16053
2026-04-29,530,1,3.79,3.85,17739
2026-04-29,530,-1,30.94,31.21,17353
2026-04-29,540,1,2.13,2.18,19348
2026-04-29,540,-1,39.17,39.51,2618
2026-04-29,550,1,1.13,1.19,15585
2026-04-29,550,-1,48.06,48.48,9368
2026-04-29,560,1,0.57,0.63,13729
2026-04-29,560,-1,57.39,57.89,5579
2026-04-29,570,1,0.26,0.34,340
2026-04-29,570,-1,66.98,67.57,1708
2026-04-29,580,1,0.11,0.19,19454
2026-04-29,580,-1,76.71,77.38,17924
2026-06-03,420,1,84.4,85.15,6103
2026-06-03,420,-1,0.0,1.69,8627
2026-06-03,430,1,75.15,75.82,4856
2026-06-03,430,-1,2.2,2.28,2996
2026-06-03,440,1,66.1,66.68,17157
2026-06-03,440,-1,2.99,3.07,13483
2026-06-03,450,1,57.31,57.81,1579
2026-06-03,450,-1,4.04,4.12,4084
2026-06-03,460,1,48.84,49.27,11296
2026-06-03,460,-1,5.43,5.5,18033
2026-06-03,470,1,40.81,41.16,19919
2026-06-03,470,-1,7.24,7.32,4382
2026-06-03,480,1,33.31,33.6,12249
2026-06-03,480,-1,0.0,9.68,709
2026-06-03,490,1,26.48,26.7,3532
2026-06-03,490,-1,12.61,12.71,4055
2026-06-03,500,1,20.44,20.6,8868
2026-06-03,500,-1,16.41,16.54,6947
2026-06-03,510,1,0.0,15.41,14553
2026-06-03,510,-1,21.09,21.27,9404
2026-06-03,520,1,11.05,11.16,6813
2026-06-03,520,-1,26.71,26.94,18127
2026-06-03,530,1,7.75,7.83,12525
2026-06-03,530,-1,33.26,33.55,13962
2026-06-03,540,1,5.28,5.35,14930
2026-06-03,540,-1,40.63,40.99,6819
2026-06-03,550,1,3.5,3.57,17831
2026-06-03,550,-1,48.7,49.13,386
2026-06-03,560,1,2.27,2.34,6170
2026-06-03,560,-1,57.32,57.83,3238
2026-06-03,570,1,1.44,1.51,130
2026-06-03,570,-1,66.34,66.92,19928
2026-06-03,580,1,0.89,0.97,1841
2026-06-03,580,-1,75.64,76.31,9221
